,Metric,AP (seed 305475974),AP (seed 369953070),AP (seed 879273778),AP (seed 965681145),AP (seed 992391276),SP (seed 305475974),SP (seed 369953070),SP (seed 879273778),SP (seed 965681145),SP (seed 992391276),AP-SP (seed 305475974),AP-SP (seed 369953070),AP-SP (seed 879273778),AP-SP (seed 965681145),AP-SP (seed 992391276),t-SNE SP (seed 305475974),t-SNE SP (seed 369953070),t-SNE SP (seed 879273778),t-SNE SP (seed 965681145),t-SNE SP (seed 992391276),t-SNE AP-SP (seed 305475974),t-SNE AP-SP (seed 369953070),t-SNE AP-SP (seed 879273778),t-SNE AP-SP (seed 965681145),t-SNE AP-SP (seed 992391276)
0,ROC AUC,0.7041095890410958,0.7205479452054795,0.6876712328767124,0.6027397260273972,0.6547945205479452,0.8849315068493151,0.9232876712328767,0.9780821917808219,0.9095890410958904,0.9068493150684932,0.8767123287671232,0.9917808219178083,0.904109589041096,0.9397260273972602,0.8931506849315067,0.8191780821917807,0.8931506849315068,0.7917808219178082,0.7945205479452055,0.7506849315068493,0.8547945205479452,0.9041095890410958,0.9068493150684931,0.8493150684931505,0.9123287671232876
1,gmean (ROC thr),0.5828602125700983,0.40880715217720065,0.40204954373365276,0.0,0.0,0.7530758844042431,0.7365227446757211,0.8632528479258292,0.8632528479258292,0.7475988961930328,0.7365227446757211,0.9651460248662211,0.7420814857593803,0.7420814857593803,0.8695771291620105,0.0,0.623731589620416,0.4410448366608609,0.0,0.0,0.5921865681580842,0.7309217299700876,0.7309217299700876,0.7138550560834394,0.8309097176613772
2,F1 (ROC thr),0.8985507246376813,0.8840579710144928,0.8676470588235294,0.8613138686131386,0.8695652173913043,0.9583333333333334,0.9361702127659575,0.9577464788732394,0.9577464788732394,0.9510489510489512,0.9361702127659575,0.9645390070921985,0.943661971830986,0.943661971830986,0.9650349650349651,0.9600000000000001,0.9659863945578231,0.9594594594594594,0.9459459459459458,0.9459459459459458,0.9142857142857143,0.9285714285714287,0.9285714285714287,0.9051094890510949,0.9197080291970804
3,Accuracy (ROC thr),82.05128205128204,79.48717948717949,76.92307692307693,75.64102564102564,76.92307692307693,92.3076923076923,88.46153846153845,92.3076923076923,92.3076923076923,91.02564102564102,88.46153846153845,93.58974358974359,89.74358974358975,89.74358974358975,93.58974358974359,92.3076923076923,93.58974358974359,92.3076923076923,89.74358974358975,89.74358974358975,84.61538461538461,87.17948717948718,87.17948717948718,83.33333333333334,85.8974358974359
4,PR AUC,0.9752474917661367,0.976119001152379,0.9742103017552552,0.9651960511518014,0.9694022690061412,0.9912544378490356,0.994701199202457,0.998457306922254,0.9925551080472006,0.9932907011972272,0.9903366634861412,0.9994330612424145,0.9931000640069791,0.9957676978075245,0.9908504570818324,0.9834729969700409,0.9909533579389358,0.9832244902540386,0.9828378395216224,0.9798510381669745,0.9896402577701862,0.9932287449340658,0.9933343603665072,0.9888751323108094,0.9938038787748338
5,gmean (PR thr),0.0,0.0,0.0,0.0,0.0,0.6193235372853323,0.4379278729628981,0.8882798522371264,0.7692729177072387,0.6193235372853323,0.7585133260223084,0.9792364931869324,0.7530758844042431,0.6281087071082564,0.8758557459257962,0.0,0.0,0.0,0.0,0.0,0.4284409455638157,0.7365227446757211,0.43478856458100523,0.6013683028032308,0.7365227446757211
6,F1 (PR thr),0.9459459459459458,0.9459459459459458,0.9459459459459458,0.9530201342281879,0.9387755102040816,0.958904109589041,0.9523809523809523,0.9863013698630136,0.979591836734694,0.958904109589041,0.9655172413793104,0.9790209790209791,0.9583333333333334,0.9729729729729729,0.9722222222222222,0.9668874172185431,0.9668874172185431,0.9668874172185431,0.9668874172185431,0.9668874172185431,0.9305555555555556,0.9361702127659575,0.9452054794520548,0.9295774647887325,0.9361702127659575
7,Accuracy (PR thr),89.74358974358975,89.74358974358975,89.74358974358975,91.02564102564102,88.46153846153845,92.3076923076923,91.02564102564102,97.43589743589743,96.15384615384616,92.3076923076923,93.58974358974359,96.15384615384616,92.3076923076923,94.87179487179486,94.87179487179486,93.58974358974359,93.58974358974359,93.58974358974359,93.58974358974359,93.58974358974359,87.17948717948718,88.46153846153845,89.74358974358975,87.17948717948718,88.46153846153845
8,gmean (0.5),0.5828602125700983,0.40880715217720065,0.40204954373365276,0.0,0.0,0.7530758844042431,0.7420814857593803,0.8695771291620105,0.7585133260223084,0.7475988961930328,0.7365227446757211,0.972216786242685,0.7530758844042431,0.7530758844042431,0.8758557459257962,0.0,0.623731589620416,0.0,0.0,0.0,0.5967950934463553,0.7309217299700876,0.7309217299700876,0.7309217299700876,0.7252774622585993
9,F1 (0.5),0.8985507246376813,0.8840579710144928,0.8676470588235294,0.8613138686131386,0.8695652173913043,0.9583333333333334,0.943661971830986,0.9650349650349651,0.9655172413793104,0.9510489510489512,0.9361702127659575,0.971830985915493,0.9583333333333334,0.9583333333333334,0.9722222222222222,0.9668874172185431,0.9659863945578231,0.9668874172185431,0.9530201342281879,0.9530201342281879,0.9219858156028369,0.9285714285714287,0.9285714285714287,0.9285714285714287,0.920863309352518
10,Accuracy (0.5),82.05128205128204,79.48717948717949,76.92307692307693,75.64102564102564,76.92307692307693,92.3076923076923,89.74358974358975,93.58974358974359,93.58974358974359,91.02564102564102,88.46153846153845,94.87179487179486,92.3076923076923,92.3076923076923,94.87179487179486,93.58974358974359,93.58974358974359,93.58974358974359,91.02564102564102,91.02564102564102,85.8974358974359,87.17948717948718,87.17948717948718,87.17948717948718,85.8974358974359
