,Metric,AP (test 1),AP (test 2),AP (test 3),AP (test 4),AP (test 5),SP (test 1),SP (test 2),SP (test 3),SP (test 4),SP (test 5),AP-SP (test 1),AP-SP (test 2),AP-SP (test 3),AP-SP (test 4),AP-SP (test 5),t-SNE SP (test 1),t-SNE SP (test 2),t-SNE SP (test 3),t-SNE SP (test 4),t-SNE SP (test 5),t-SNE AP-SP (test 1),t-SNE AP-SP (test 2),t-SNE AP-SP (test 3),t-SNE AP-SP (test 4),t-SNE AP-SP (test 5)
0,ROC AUC,0.8495934959349594,0.7821969696969697,0.8342198581560284,0.8504772004241781,0.7765419615773509,0.875,0.8787878787878788,0.9521276595744681,0.8366914103923647,0.8109201213346816,0.8963414634146342,0.875,0.9326241134751773,0.8451749734888653,0.8341759352881699,0.8363821138211383,0.7424242424242423,0.7411347517730497,0.777306468716861,0.7108190091001011,0.8526422764227642,0.8428030303030303,0.8829787234042553,0.8547189819724285,0.691607684529828
1,gmean (ROC thr),0.7449013684914855,0.6784005252999681,0.7838122875584814,0.7595276759684508,0.7389222332113676,0.7867035267649372,0.7977240352174656,0.8942289360510104,0.7354095100023583,0.7389222332113676,0.8115026712006891,0.8257228238447705,0.8721458008110458,0.7461459831747721,0.763155600898672,0.7170966756835669,0.6084941671989564,0.6684373647831918,0.7164185699284198,0.6647258571142536,0.6984302957695782,0.7525210155124432,0.7683915225423128,0.8108490241584996,0.6609121374186283
2,F1 (ROC thr),0.7428571428571429,0.7012987012987013,0.7951807228915662,0.810126582278481,0.7692307692307693,0.7945205479452054,0.810126582278481,0.9111111111111112,0.7792207792207793,0.7692307692307693,0.8674698795180722,0.8108108108108109,0.8863636363636364,0.8333333333333333,0.8,0.6969696969696971,0.5483870967741935,0.6486486486486487,0.6875000000000001,0.6571428571428571,0.7594936708860759,0.732394366197183,0.8222222222222222,0.8266666666666665,0.7012987012987012
3,Accuracy (ROC thr),72.3076923076923,66.17647058823529,76.05633802816901,76.5625,72.72727272727273,76.92307692307693,77.94117647058823,88.73239436619718,73.4375,72.72727272727273,83.07692307692308,79.41176470588235,85.91549295774648,78.125,75.75757575757575,69.23076923076923,58.82352941176471,63.38028169014085,68.75,63.63636363636363,70.76923076923077,72.05882352941177,77.46478873239437,79.6875,65.15151515151516
4,PR AUC,0.9003012869573939,0.8831043406240632,0.9057784547895501,0.9168445686370671,0.8957073631124657,0.897613671782638,0.9291379791447949,0.9774776728694875,0.9145596409758964,0.9042776351103502,0.918481611178019,0.9390816997087656,0.9664972883271733,0.9135662602135268,0.9177995806755477,0.9092490070224654,0.8583048959684205,0.8680036171047917,0.8857391570418853,0.8495154493390509,0.92264552970291,0.9182550886041311,0.9413015793226548,0.9027739127221794,0.787185741507505
5,gmean (PR thr),0.7352893352307411,0.5838742081211422,0.6245565802918224,0.6100953457116033,0.6327751962097768,0.7963330593811955,0.8024583440524461,0.8832563863180561,0.61786757427666,0.6966625624976874,0.8208413292499824,0.8100925873009825,0.8520937916610084,0.7310707729621896,0.7756402489255481,0.699157448799183,0.6418191475655881,0.600679284507864,0.35223871207793195,0.5244285252144901,0.730435887238472,0.7064368551420788,0.7649224686062787,0.7511038183349125,0.6149469548917508
6,F1 (PR thr),0.8539325842696629,0.7659574468085107,0.8,0.8297872340425531,0.7586206896551724,0.8863636363636364,0.8292682926829269,0.9263157894736843,0.8,0.7710843373493975,0.8965517241379309,0.8250000000000001,0.8764044943820225,0.8372093023255814,0.8333333333333333,0.8314606741573034,0.7073170731707317,0.7628865979381443,0.78,0.7391304347826086,0.8235294117647058,0.7560975609756098,0.88,0.8636363636363636,0.7640449438202247
7,Accuracy (PR thr),80.0,67.64705882352942,71.83098591549296,75.0,68.18181818181817,84.61538461538461,79.41176470588235,90.14084507042254,71.875,71.21212121212122,86.15384615384616,79.41176470588235,84.50704225352112,78.125,78.78787878787878,76.92307692307693,64.70588235294117,67.6056338028169,65.625,63.63636363636363,76.92307692307693,70.58823529411765,83.09859154929578,81.25,68.18181818181817
8,gmean (0.5),0.7449013684914855,0.6784005252999681,0.7838122875584814,0.7595276759684508,0.7389222332113676,0.8064778385455119,0.7905694150420949,0.8942289360510104,0.7354095100023583,0.7181033326478575,0.8446387595572095,0.821699089654719,0.8520937916610084,0.7461459831747721,0.7866427878217351,0.7156780854205468,0.6261353324525414,0.6743791470994289,0.7310707729621896,0.693024613023827,0.6984302957695782,0.7668560372183177,0.778705964227451,0.8108490241584996,0.6182266952452412
9,F1 (0.5),0.7428571428571429,0.7012987012987013,0.7951807228915662,0.810126582278481,0.7692307692307693,0.8311688311688312,0.8148148148148148,0.9111111111111112,0.8192771084337348,0.759493670886076,0.9069767441860465,0.8157894736842106,0.8764044943820225,0.8333333333333333,0.8292682926829267,0.7058823529411764,0.5714285714285715,0.6835443037974684,0.7164179104477613,0.6944444444444445,0.7594936708860759,0.75,0.8351648351648351,0.8266666666666665,0.6835443037974683
10,Accuracy (0.5),72.3076923076923,66.17647058823529,76.05633802816901,76.5625,72.72727272727273,80.0,77.94117647058823,88.73239436619718,76.5625,71.21212121212122,87.6923076923077,79.41176470588235,84.50704225352112,78.125,78.78787878787878,69.23076923076923,60.29411764705882,64.7887323943662,70.3125,66.66666666666666,70.76923076923077,73.52941176470588,78.87323943661971,79.6875,62.121212121212125
