,Metric,AP,SP,AP-SP,t-SNE SP,t-SNE AP-SP
0,ROC AUC,0.673972602739726,0.9205479452054796,0.9210958904109589,0.8098630136986301,0.8854794520547944
1,gmean (ROC thr),0.27874338169619034,0.7927406442249311,0.8110817740445426,0.21295528525625537,0.7197589603686152
2,F1 (ROC thr),0.8762269680960294,0.9522090909789442,0.9506136257110187,0.9554675491818347,0.9192492179353493
3,Accuracy (ROC thr),78.2051282051282,91.2820512820513,91.02564102564102,91.53846153846155,85.64102564102566
4,PR AUC,0.9720350229663428,0.9940517506436348,0.9938975887249782,0.9840679445703223,0.9917764748312805
5,gmean (PR thr),0.0,0.6668255434955855,0.7989580313295074,0.0,0.5875286604598988
6,F1 (PR thr),0.9459266964540214,0.9672164756313485,0.9696133497857635,0.9668874172185431,0.9355357850656516
7,Accuracy (PR thr),89.74358974358975,93.84615384615384,94.35897435897435,93.58974358974359,88.2051282051282
8,gmean (0.5),0.27874338169619034,0.774169344308195,0.8181494091305377,0.1247463179240832,0.7029675491230435
9,F1 (0.5),0.8762269680960294,0.9567192925255092,0.9593780175140679,0.961160299490257,0.9257126821339282
10,Accuracy (0.5),78.2051282051282,92.05128205128206,92.56410256410257,92.56410256410257,86.66666666666667
